Ranking,Freq.,Characters
1,489803,的
2,166396,一
3,139814,是
4,120984,在
5,107418,不
6,102557,了
7,99357,有
8,86775,和
9,81106,人
10,77967,這
11,71491,中
12,69713,大
13,68012,為
14,67837,上
15,65256,個
16,64283,國
17,61492,我
18,60842,以
19,57362,要
20,56325,地
21,55710,他
22,55419,時
23,53984,來
24,53349,用
25,51653,們
26,50590,生
27,50519,到
28,46623,作
29,43766,出
30,43623,就
31,43498,分
32,42647,於
33,42008,對
34,41881,成
35,41861,會
36,40754,可
37,38619,主
38,38502,發
39,38389,年
40,38247,動
41,38226,同
42,37987,工
43,37737,也
44,36979,能
45,36591,下
46,36103,過
47,36040,子
48,35855,說
49,35614,產
50,35049,種
51,34915,行
52,33754,而
53,33578,方
54,33337,面
55,33102,後
56,33033,多
57,32368,定
58,31893,學
59,31810,法
60,31158,所
61,30971,民
62,30715,得
63,30014,經
64,29917,十
65,29373,三
66,29331,之
67,29317,進
68,29061,等
69,28458,部
70,28420,度
71,27961,家
72,27905,電
73,27465,力
74,27113,如
75,26774,水
76,26767,化
77,26021,高
78,25933,都
79,25853,自
80,25850,二
81,25814,理
82,25550,起
83,25324,小
84,24967,長
85,24803,物
86,24651,現
87,24404,實
88,24302,加
89,24288,量
90,23980,兩
91,23974,體
92,23742,機
93,23389,還
94,23328,當
95,22997,使
96,22902,點
97,22644,從
98,22580,業
99,22444,本
100,22312,重
101,22195,去
102,22167,把
103,22038,性
104,22037,好
105,21837,應
106,21588,開
107,21467,它
108,21425,合
109,21334,因
110,21295,制
111,21176,由
112,21091,其
113,20931,些
114,20905,然
115,20805,前
116,20779,外
117,20743,天
118,20507,政
119,20420,四
120,20404,日
121,20332,那
122,20293,社
123,20250,義
124,20170,事
125,20070,平
126,20035,形
127,19837,相
128,19790,全
129,19731,��
130,19627,間
131,19551,樣
132,19444,表
133,19433,與
134,19202,關
135,19188,各
136,19114,新
137,19039,線
138,18629,內
139,18339,數
140,18231,正
141,18187,心
142,17989,反
143,17828,你
144,17766,明
145,17592,看
146,17518,原
147,17476,又
148,17457,麼
149,17227,利
150,17210,比
151,17124,或
152,17042,但
153,17018,質
154,16723,氣
155,16595,第
156,16590,向
157,16573,道
158,16381,命
159,16270,此
160,16236,沒
161,16231,變
162,15931,條
163,15812,只
164,15708,結
165,15660,解
166,15535,問
167,15534,意
168,15418,建
169,15345,月
170,15339,公
171,15279,無
172,15119,軍
173,15095,很
174,15039,情
175,14965,者
176,14712,最
177,14689,立
178,14688,代
179,14661,想
180,14565,已
181,14562,通
182,14437,提
183,14240,直
184,14110,題
185,14095,黨
186,14070,程
187,14038,展
188,13902,五
189,13899,果
190,13744,料
191,13709,象
192,13617,員
193,13612,革
194,13535,位
195,13449,入
196,13407,常
197,13401,文
198,13328,總
199,13301,次
200,13263,品
201,13253,式
202,13160,活
203,13075,設
204,13071,及
205,13018,管
206,12997,特
207,12992,件
208,12924,求
209,12882,老
210,12823,頭
211,12619,基
212,12554,資
213,12480,邊
214,12369,流
215,12364,路
216,12311,級
217,12267,少
218,12196,圖
