Ranking,Freq.,Characters,Syllable,Words(Explanation) / Remarks
1,489803,的,dik1,"的確, 目的, 一語中的, 的當, 鵠的, 無的放矢, 眾矢之的"
2,166396,一,jat1,"一致, 統一, 一枝獨秀, 一般, 一切, 一樣, 專一, 劃一, 一視同仁, 一觸即發, 一落千丈, 長短不一"
3,139814,是,si6,"是否, 是以, 是非, 是故, 是非曲直, 是是非非, 是非自有公論"
4,120984,在,zoi6,"在於, 在場, 在逃, 在下, 在野, 在乎, 在意, 自在, 存在, 內在"
5,107418,不,bat1,"不然, 不離不棄, 一成不變, 不可, 來不及, 有條不紊"
5,107418,不,fau2,同「否」字
6,102557,了,laa1,「了liu5」的異讀字
6,102557,了,liu4,「了liu5」的異讀字
6,102557,了,liu5,"了斷, 不得了, 沒完沒了, 了結, 了解, 了得, 了事, 了當, 了然, 了案, 了願, 了悟, 了債, 末了, 罷了, 了不起, 免不了, 不了了之, 不甚了了"
7,99357,有,jau5,"有心, 有為, 有限, 有關"
7,99357,有,jau6,同「又」字
8,86775,和,wo4,"和諧, 溫和, 和衷共濟, 和平, 和氣, 和煦, 和睦, 和譪, 調和, 和風細雨, 和盤托出"
8,86775,和,wo6,"和鳴, 附和, 曲高和寡, 和韻, 唱和"
8,86775,和,wu4,賭博用語
9,81106,人,jan4,"人員, 人民, 人生, 人口, 人事, 人物, 人才, 人格, 人道, 人選, 人質, 人權, 人類, 人心惶惶"
10,77967,這,ze2,"這些, 這麼, 這樣"
10,77967,這,ze3,「這ze2」的異讀字
10,77967,這,ze5,「這ze2」的異讀字
11,71491,中,zung1,"中土, 中心, 中天, 中介, 中允, 中古, 中央, 中州, 中旬, 中波, 中性, 中和, 中表, 中衰, 中秋, 中流, 中原, 中堅, 中堂, 中游, 中華, 中葉, 中間, 中道, 中輟, 中樞, 中鋒, 中層, 中興, 中斷, 適中, 中世紀, 中流砥柱, 中流擊楫, 中飽私囊"
11,71491,中,zung3,"中邪, 中肯, 中風, 中理, 中彩, 中暑, 中傷, 中標, 中選, 一矢中的"
12,69713,大,daai6,"大小, 大夫, 大名, 大概"
12,69713,大,taai3,通「太」字
13,68012,為,wai4,"行為, 為難, 為富不仁, 為人, 為所欲為, 為首"
13,68012,為,wai6,"為何, 因為, 為虎作倀, 為國捐軀"
