Ranking,Freq.,Characters,Code
1,489803,的,%AA%BA
2,166396,一,%A4%40
3,139814,是,%ACO
4,120984,在,%A6b
5,107418,不,%A4%A3
6,102557,了,%A4F
7,99357,有,%A6%B3
8,86775,和,%A9M
9,81106,人,%A4H
10,77967,這,%B3o
11,71491,中,%A4%A4
12,69713,大,%A4j
13,68012,為,%AC%B0
14,67837,上,%A4W
15,65256,個,%AD%D3
16,64283,國,%B0%EA
17,61492,我,%A7%DA
18,60842,以,%A5H
19,57362,要,%ADn
20,56325,地,%A6a
21,55710,他,%A5L
22,55419,時,%AE%C9
23,53984,來,%A8%D3
24,53349,用,%A5%CE
25,51653,們,%AD%CC
26,50590,生,%A5%CD
27,50519,到,%A8%EC
28,46623,作,%A7%40
29,43766,出,%A5X
30,43623,就,%B4N
31,43498,分,%A4%C0
32,42647,於,%A9%F3
33,42008,對,%B9%EF
34,41881,成,%A6%A8
35,41861,會,%B7%7C
36,40754,可,%A5i
37,38619,主,%A5D
38,38502,發,%B5o
39,38389,年,%A6%7E
40,38247,動,%B0%CA
41,38226,同,%A6P
42,37987,工,%A4u
43,37737,也,%A4%5D
44,36979,能,%AF%E0
45,36591,下,%A4U
46,36103,過,%B9L
47,36040,子,%A4l
48,35855,說,%BB%A1
49,35614,產,%B2%A3
50,35049,種,%BA%D8
51,34915,行,%A6%E6
52,33754,而,%A6%D3
53,33578,方,%A4%E8
54,33337,面,%AD%B1
55,33102,後,%AB%E1
56,33033,多,%A6h
57,32368,定,%A9w
58,31893,學,%BE%C7
59,31810,法,%AAk
60,31158,所,%A9%D2
61,30971,民,%A5%C1
62,30715,得,%B1o
63,30014,經,%B8g
64,29917,十,%A4Q
65,29373,三,%A4T
66,29331,之,%A4%A7
67,29317,進,%B6i
68,29061,等,%B5%A5
69,28458,部,%B3%A1
70,28420,度,%AB%D7
71,27961,家,%AEa
72,27905,電,%B9q
73,27465,力,%A4O
74,27113,如,%A6p
75,26774,水,%A4%F4
76,26767,化,%A4%C6
77,26021,高,%B0%AA
78,25933,都,%B3%A3
79,25853,自,%A6%DB
80,25850,二,%A4G
81,25814,理,%B2z
82,25550,起,%B0_
83,25324,小,%A4p
84,24967,長,%AA%F8
85,24803,物,%AA%AB
86,24651,現,%B2%7B
87,24404,實,%B9%EA
88,24302,加,%A5%5B
89,24288,量,%B6q
90,23980,兩,%A8%E2
91,23974,體,%C5%E9
92,23742,機,%BE%F7
93,23389,還,%C1%D9
